valueLoss,policyLoss
0.1504,7.2717
0.1908,7.7960
0.2022,7.8693
0.1746,7.2772
0.2349,7.4583
0.1823,7.2384
0.2974,7.7175
0.2456,7.4853
0.2461,7.8432
0.1574,7.3772
0.1924,7.1144
0.1294,7.1579
0.2361,7.0341
0.2804,7.0505
0.1319,6.9973
0.2181,6.9103
0.4392,6.9735
0.2696,6.9973
0.2488,6.8284
0.2065,6.9002
0.2013,7.0783
0.1945,6.9406
0.2122,7.3579
0.1752,7.0924
0.1810,7.2460
0.1765,7.2265
0.1892,7.5063
0.2092,7.7969
0.1597,7.8188
0.2130,7.9161
0.1630,7.7882
0.1501,7.0027
0.1335,6.5916
0.1417,6.5508
0.1113,6.4290
0.1922,6.6984
0.1569,6.8960
0.1840,6.9369
0.1579,6.5570
0.1806,6.8835
0.1879,6.9935
0.2382,7.5815
0.2344,7.3479
0.1926,7.3070
0.1044,7.0499
0.1921,7.5157
0.1220,7.5811
0.1742,7.6383
0.1386,7.4117
0.2080,7.6615
0.1287,7.2582
0.2050,7.6124
0.1330,7.5982
0.1148,7.3115
0.1590,7.0575
0.1284,6.8550
0.1186,6.7905
0.1310,6.9497
0.1376,7.0802
0.1461,7.2512
0.1274,7.0597
0.1581,7.5301
0.1257,7.1964
0.1314,7.6850
0.1381,7.7099
0.1099,7.5486
0.1046,7.4447
0.1102,7.6065
0.0928,7.6138
0.1074,7.5840
0.1008,7.2823
0.0992,6.5749
0.1194,6.8631
0.1157,6.8158
0.1093,7.0468
0.1019,6.9893
0.0932,6.8181
0.1025,6.7569
0.0990,6.9401
0.1043,6.7815
0.0754,6.5108
0.1072,6.8698
0.1047,6.9628
0.1216,7.3680
0.1259,7.4423
0.1088,7.1872
0.1075,6.8781
0.1160,7.0158
0.0924,7.1001
0.0968,6.8870
0.1107,6.4805
0.0971,6.6315
0.0985,7.0208
0.1288,7.6997
0.1082,7.5911
0.1051,7.5865
0.0827,7.3416
0.1035,7.1220
0.1067,7.4224
0.1132,7.6418
0.1232,7.4478
0.1256,7.2661
0.0879,7.0030
0.1067,6.7275
0.1266,6.8650
0.1398,6.6109
0.1012,6.6435
0.1114,6.5447
0.1182,6.4882
0.0915,6.7136
0.1001,6.5424
0.0830,6.5825
0.0863,6.6027
0.1272,6.9966
0.1164,7.2047
0.1106,7.3218
0.1266,7.4605
0.0969,7.5695
0.0748,7.1580
0.0877,7.1935
0.0770,7.2418
0.1303,7.6157
0.1191,7.4044
0.2053,7.9951
0.1312,8.0595
0.1610,8.0534
0.1142,7.8891
0.1106,7.4969
0.1154,7.3420
0.1321,6.6794
0.1608,7.4996
0.1588,7.9602
0.1493,7.7245
0.1156,7.4264
0.1449,7.9382
0.1377,7.7549
0.0896,7.8658
0.1113,7.8078
0.0829,7.3183
0.1208,7.7851
0.1135,7.5242
0.1436,7.5046
0.1182,7.2882
0.1405,7.4219
0.1427,7.5754
0.1085,7.6594
0.1339,7.4388
0.1289,7.6176
0.1717,7.7357
0.1477,7.4867
0.1846,7.2617
0.1217,7.0799
0.1100,7.3368
0.1047,7.3572
0.1751,7.3674
0.1104,7.1926
0.1077,6.8204
0.1109,7.0468
0.1740,7.4693
0.0983,7.1660
0.1176,6.8546
0.0993,6.6796
0.1139,6.7392
0.1014,6.7155
0.0908,6.6315
0.0945,6.8651
0.1294,7.0994
0.0988,7.0773
0.1160,7.2783
